Depression and anxiety,Life satisfaction,Self-esteem,Subjective happiness,Loneliness,Greenspace use (frequency),Greenspace use (duration),Nature view,Sex,Age,Income,Impact of COVID-19 on income,Number of working days,Number of children,Presence of a pet,Frequency of drinking alcohol,Frequency of smoking,Housing type
5,13,27,22,46,10,1.5,1,male,66,2,4,7,0,0,6,0,owned_flat
7,14,33,27,37,0,0,0,female,54,3,4,5,0,0,5,0,rented_flat
2,13,31,23,29,3,5,1,female,39,4,3,5,0,1,5,0,rented_flat
2,14,33,26,28,0,0,0,male,69,6,4,7,0,0,0,0,owned_house
0,13,29,20,47,3,0.5,1,male,76,2,4,0,0,0,4,0,owned_flat
10,11,23,18,59,15,7,1,female,73,1,4,0,2,0,0,7,owned_flat
3,14,31,19,35,0,0,1,male,60,2,2,5,0,0,2,0,owned_house
4,12,14,12,66,10,5,0,male,61,2,2,5,0,0,2,7,rented_flat
1,11,10,19,63,0,0,0,male,55,4,4,5,0,0,5,5,rented_flat
7,5,24,16,53,0,0,1,female,78,1,4,0,0,0,0,0,owned_flat
11,10,20,9,57,0,0,1,male,71,1,4,0,0,0,7,7,owned_flat
3,14,31,23,37,2,0.5,1,male,66,2,4,7,0,0,4,0,owned_house
6,14,28,22,44,20,1.5,1,male,78,4,4,0,0,0,1,0,owned_flat
9,14,26,16,49,0,0,1,male,51,1,1,7,0,0,2,0,rented_flat
1,14,28,24,39,0,0,1,female,70,2,3,0,0,0,0,0,owned_house
7,11,27,16,47,0,0,1,female,45,5,4,5,0,0,4,0,owned_flat
5,11,23,18,35,20,3,1,male,60,5,4,5,0,0,6,0,owned_flat
2,14,29,18,46,0,0,1,male,48,4,3,5,1,0,1,7,owned_house
7,8,19,8,51,0,0,0,male,59,1,4,0,0,0,0,0,rented_flat
0,9,30,20,41,2,0.5,0,male,40,2,3,5,0,1,6,0,rented_flat
8,8,21,16,51,0,0,1,male,67,1,4,0,0,0,6,7,owned_flat
2,11,26,16,49,0,0,0,female,48,4,4,0,1,0,0,0,owned_flat
11,11,24,16,51,0,0,1,female,47,4,4,5,0,1,0,0,rented_flat
1,14,29,20,47,0,0,1,male,45,2,4,5,0,0,0,7,owned_flat
5,13,30,20,36,0,0,1,female,61,2,4,0,0,0,0,0,owned_flat
8,5,27,18,48,0,0,1,female,71,2,4,0,0,0,0,0,owned_house
4,12,26,20,50,0,0,1,male,42,4,4,5,0,0,5,7,rented_flat
3,18,31,28,40,0,0,1,male,56,6,4,5,1,0,4,0,owned_flat
2,8,25,16,49,0,0,1,male,71,1,4,0,0,0,0,0,rented_flat
2,14,28,20,48,1,0.5,1,male,50,5,4,7,1,1,2,0,owned_house
0,13,29,20,34,1,0.5,1,male,67,3,4,5,0,0,4,0,owned_house
3,11,24,16,51,0,0,0,male,60,1,5,6,0,0,5,7,owned_house
0,10,29,16,42,0,0,0,male,46,6,4,5,0,0,4,0,owned_flat
5,13,31,22,38,0,0,1,female,73,5,4,7,0,0,0,0,owned_flat
12,10,23,15,63,0,0,1,male,37,4,4,5,0,0,5,0,rented_flat
1,12,25,25,21,0,0,1,female,49,5,3,5,0,0,7,0,owned_flat
5,9,21,13,56,0,0,0,female,33,3,4,0,2,0,1,0,owned_house
4,8,22,16,51,0,0,1,female,61,1,4,0,0,0,4,0,owned_house
